,이름,차량번호,링크,연식,주행거리,연료,배기량,색상,보증정보,가격,신차대비가격,옵션_선루프,옵션_파노라마선루프,옵션_열선앞,옵션_열선뒤,옵션_전방센서,옵션_후방센서,옵션_전방캠,옵션_후방캠,옵션_어라운드뷰,옵션_네비순정,보험이력등록,소유자변경횟수,사고상세_전손,사고상세_침수전손,사고상세_침수분손,사고상세_도난,보험_내차피해(횟수),보험_내차피해(가격),사고상세_타차가해(횟수),보험_내차피해(가격)
2067,기아 스팅어 3.3 터보 AWD GT,차량번호 280너5236,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180445&gubun=K,2018.06,"73,000 km",가솔린,"3,342 cc (370마력)",흰색,정보없음,"3,199만원",62,1,1,1,1,1,1,1,1,1,1,등록,,,,,,,,,
2068,현대 뉴 투스카니 2.0  GTS I 기본형,차량번호 15가7871,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180442&gubun=K,2006.10 (07년형),"144,505 km",가솔린,"1,975 cc (143마력)",검정색,만료,430만원,23,1,0,0,0,0,0,0,0,0,0,등록,,,,,,,,,
2069,현대 그랜드스타렉스  캠핑카 -   ,차량번호 74소8692,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2169575&gubun=K,2012.12,"319,000 km",디젤,"2,497 cc (174마력)",흰색,불가,[계약],준비중,0,0,1,0,0,1,0,1,0,0,미등록,,,,,,,,,
2070,기아 뉴 오피러스 2.7  GH270 스페셜 럭셔리,차량번호 04로3282,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2176527&gubun=K,2009.04,"213,386 km",가솔린,"3,342 cc (192마력)",검정색,만료,380만원,10,1,0,1,1,1,1,0,1,0,0,등록,,,,,,,,,
2071,쉐보레 트레일블레이저 1.3 터보 AWD  RS,차량번호 103무3830,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180432&gubun=K,2020.11 (21년형),"43,000 km",가솔린,"1,341 cc (156마력)",흰색,"60개월 / 100,000km","2,550만원",96,0,0,1,1,1,1,0,1,0,1,등록,1,0,0,0,0,0,0,2,"2,116,324"
2072,기아 K5  1.6 터보 시그니처,차량번호 119어7379,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179833&gubun=K,2021.11 (22년형),"18,500 km",가솔린,"1,598 cc (180마력)",회색,정보없음,"3,400만원",108,0,1,1,1,1,1,1,1,1,1,등록,,,,,,,,,
2073,현대 제네시스 쿠페  2.0 터보 R,차량번호 31모9114,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180389&gubun=K,2010.07 (11년형),"159,900 km",가솔린,"1,998 cc (210마력)",검정색,만료,580만원,19,1,0,1,1,0,1,0,1,0,1,등록,,,,,,,,,
2074,제네시스 더 올 뉴 G80  2.5 터보 -   ,차량번호 146노2778,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2148729&gubun=K,2020.07 (21년형),"15,000 km",가솔린,"2,497 cc (304마력)",기타색상,"60개월 / 100,000km","5,150만원",98,0,0,1,1,1,1,1,1,1,1,미등록,,,,,,,,,
2075,기아 더 뉴 K3  1.6 시그니처,차량번호 113저3625,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180351&gubun=K,2022.04,"12,550 km",가솔린,"1,598 cc (123마력)",흰색,"60개월 / 100,000km","2,375만원",97,1,0,1,1,1,1,0,1,0,1,등록,,,,,,,,,
2076,현대 포터2 일렉트릭 슈퍼캡 초장축 프리미엄 스페셜 ,차량번호 81버1224,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179124&gubun=K,2022.07,"3,700 km",전기,180 cc (),흰색,정보없음,"2,800만원",65,0,0,1,0,0,0,0,0,0,1,등록,,,,,,,,,
2077,현대 스텔라  1.5 88  ,차량번호 55오3646,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2160935&gubun=K,1988.05,"266,000 km",가솔린,"1,499 cc ()",금색,불가,750만원,준비중,0,0,0,0,0,0,0,0,0,0,미등록,,,,,,,,,
2078,현대 갤로퍼 2.5 디젤 엑시드,차량번호 45소3267,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178175&gubun=K,1994.12,"125,000 km",디젤,"2,476 cc (95마력)",주황색,불가,800만원,54,0,0,0,0,0,0,0,1,0,0,등록,,,,,,,,,
2079,현대 YF쏘나타 2.0 CVVL 프라임,차량번호 32노6848,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2173938&gubun=K,2010.03,"196,374 km",가솔린,"1,998 cc (172마력)",흰색,만료,450만원,18,0,1,1,0,0,1,0,1,0,0,등록,5,0,0,0,0,5,"4,891,853",3,"1,988,289"
2080,기아 카니발 4세대  3.5 가솔린 9인승 시그니처   ,차량번호 번호판없음,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180316&gubun=K,2022.00,39 km,가솔린,"3,470 cc (294마력)",흰색,"60개월 / 100,000km","9,090만원",준비중,0,0,1,1,0,1,0,1,0,1,미등록,,,,,,,,,
2081,기아 K5  2.0 노블레스,차량번호 66노8044,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180282&gubun=K,2019.01,"42,000 km",가솔린,"1,999 cc (160마력)",흰색,불가,"2,400만원",85,0,0,1,1,1,1,0,1,0,1,등록,,,,,,,,,
2082,기아 올 뉴 쏘렌토 2.0 디젤 2WD 노블레스,차량번호 31저4404,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178514&gubun=K,2015.05,"168,558 km",디젤,"1,995 cc (186마력)",흰색투톤,만료,"1,290만원",41,1,1,1,1,1,1,0,1,1,0,등록,,,,,,,,,
2083,현대 그랜저IG 3.0 LPi 익스클루시브 스페셜,차량번호 265누9871,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180251&gubun=K,2017.02,"113,000 km",가솔린,"2,999 cc (235마력)",남색,만료,"1,900만원",54,0,0,1,1,1,1,1,1,1,1,등록,,,,,,,,,
2084,현대 더 뉴 아반떼 1.6  스마트 ,차량번호 169우8734,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180245&gubun=K,2014.05,"180,000 km",가솔린,"1,591 cc (140마력)",흰색,만료,500만원,28,0,0,0,0,0,1,0,1,0,0,등록,,,,,,,,,
2085,기타 국산차 캠핑카,차량번호 99로1901,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180241&gubun=K,2014.11 (15년형),"54,000 km",디젤,"2,497 cc ()",은색,불가,"1,600만원",준비중,0,0,1,0,0,1,0,1,0,0,등록,,,,,,,,,
2086,현대 아반떼AD  1.6 터보 스포츠 DCT   ,차량번호 16너4551,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180148&gubun=K,2017.02,"160,376 km",가솔린,"1,591 cc (204마력)",검정색 (형광색),불가,"1,250만원",57,0,0,1,0,0,0,0,1,0,1,미등록,,,,,,,,,
2087,현대 포터2 더블캡  초장축 스마트,차량번호 86너3280,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180222&gubun=K,2016.01,"161,305 km",디젤,"2,497 cc ()",흰색,정보없음,"1,050만원",준비중,0,0,1,0,0,1,0,1,0,0,등록,,,,,,,,,
2088,기아 모하비 3.0 디젤 4WD  QV300,차량번호 39모5533,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178109&gubun=K,2011.08 (12년형),"194,000 km",디젤,"2,959 cc (260마력)",검정색,만료,"1,430만원",35,,,,,,,,,,,등록,,,,,,,,,
2089,현대 NF쏘나타 2.0 LPi 개인형 고급형,차량번호 08러8156,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180210&gubun=K,2006.09 (07년형),"296,500 km",LPG,"1,998 cc ()",은색,불가,215만원,준비중,0,0,1,0,0,0,0,1,0,0,등록,,,,,,,,,
2090,기아 오피러스 2.7  GH270 고급형,차량번호 31마7750,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180190&gubun=K,2004.10 (05년형),"340,000 km",가솔린,"2,656 cc (182마력)",검정색,만료,200만원,6,0,0,0,1,0,0,0,0,0,0,등록,,,,,,,,,
2091,기아 카니발 4세대  3.5 가솔린 9인승 시그니처   ,차량번호 번호판없음,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180081&gubun=K,2023.00,38 km,가솔린,"3,470 cc (294마력)",흰색,"60개월 / 100,000km","9,090만원",준비중,0,0,1,1,1,1,1,1,1,1,미등록,,,,,,,,,
2092,기아 니로 플러스   에어   ,차량번호 47오7107,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2173112&gubun=K,2022.06 (23년형),"2,499 km",전기,0 cc (204마력),흰색,정보없음,"3,950만원",준비중,0,0,1,1,1,1,0,1,0,1,등록,0,0,0,0,0,0,0,0,0
2093,현대 더 뉴 그랜드스타렉스  2.5 디젤 캠핑카 4WD  ,차량번호 72거8192,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2175337&gubun=K,2018.06 (19년형),"71,900 km",디젤,"2,497 cc (175마력)",흰색,불가,"5,200만원",준비중,0,0,1,0,0,0,0,1,0,1,미등록,,,,,,,,,
2094,르노삼성 뉴 마스터  2.3 디젤 15인승   ,차량번호 72서6917,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180110&gubun=K,2021.02 (20년형),"1,690 km",디젤,"2,299 cc (163마력)",흰색,정보없음,[계약],125,0,0,0,0,0,1,0,1,0,0,미등록,,,,,,,,,
2095,쉐보레 크루즈 2.0 디젤 LTZ 플러스,차량번호 32조2163,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179618&gubun=K,2012.04,"163,536 km",디젤,"1,998 cc (163마력)",흰색,불가,300만원,13,1,0,1,0,0,1,0,1,0,0,등록,,,,,,,,,
2096,기아 봉고3 CRDi 더블캡 초장축 GX,차량번호 87조7985,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2177554&gubun=K,2012.07,"211,028 km",디젤,"2,497 cc ()",청색,불가,680만원,준비중,0,0,0,0,0,0,0,0,0,0,등록,,,,,,,,,
2097,기아 더 뉴 레이 1.0 프레스티지,차량번호 53호4424,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179985&gubun=K,2018.09,"42,559 km",가솔린,998 cc (78마력),흰색,불가,"1,250만원",79,0,0,1,1,0,1,0,1,0,1,등록,,,,,,,,,
2098,기아 모닝 어반 1.0 밴,차량번호 157하4049,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180079&gubun=K,2021.05,"29,000 km",가솔린,998 cc (76마력),흰색,"60개월 / 100,000km",100만원,반납,0,0,1,0,0,1,0,0,0,0,등록,,,,,,,,,
2099,쉐보레 크루즈 1.8 LTZ 플러스,차량번호 17모1880,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180077&gubun=K,2014.12,"48,000 km",가솔린,"1,796 cc (142마력)",은색,불가,580만원,28,0,0,0,0,0,1,0,1,1,1,등록,,,,,,,,,
2100,현대 올 뉴 투싼  1.7 디젤 2WD 모던   ,차량번호 373고5571,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179952&gubun=K,2015.05 (16년형),"117,000 km",가솔린,"1,685 cc (141마력)",진회색,불가,"1,300만원",50,,,,,,,,,,,미등록,,,,,,,,,
2101,현대 올 뉴 투싼  2.0 디젤 2WD 프리미엄   ,차량번호 63더6542,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180003&gubun=K,2015.09 (16년형),"135,058 km",디젤,"1,995 cc (186마력)",검정색 (전체 랩핑),불가,"1,480만원",50,1,1,1,1,1,1,0,1,0,1,미등록,,,,,,,,,
2102,현대 카운티  캠핑카 -   ,차량번호 72버3539,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179923&gubun=K,1999.04,"134,000 km",디젤,"3,298 cc ()",기타색상,불가,"3,200만원",준비중,,,,,,,,,,,미등록,,,,,,,,,
2103,현대 포터2 냉장탑차,차량번호 82구0592,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180033&gubun=K,2021.01 (20년형),"30,500 km",디젤,"2,497 cc ()",흰색,"24개월 / 40,000km","2,250만원",준비중,0,0,1,0,0,0,0,0,0,0,등록,,,,,,,,,
2104,기아 더 뉴 레이  1.0 시그니처   ,차량번호 229부6779,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180021&gubun=K,2020.09 (21년형),"21,975 km",가솔린,998 cc (76마력),검정색,"60개월 / 100,000km","1,450만원",92,0,0,1,1,0,1,0,1,0,0,미등록,,,,,,,,,
2105,쉐보레 더 뉴 트랙스  1.4 가솔린 LTZ   ,차량번호 67보0102,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180020&gubun=K,2016.11 (17년형),"90,000 km",가솔린,"1,362 cc (140마력)",진회색,불가,"1,270만원",53,1,0,1,0,0,1,0,1,0,0,등록,1,0,0,0,0,0,0,0,0
2106,쉐보레 더 넥스트 스파크  1.0 LT 플러스   ,차량번호 18로0486,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2180019&gubun=K,2016.02,"70,000 km",가솔린,999 cc (75마력),보라색,불가,690만원,66,0,0,1,0,0,1,0,1,0,0,등록,,,,,,,,,
2107,쌍용 렉스턴 스포츠 칸 2.2 디젤 4WD  5링크 프레스티지  ,차량번호 809로1675,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179962&gubun=K,2022.05,"2,000 km",디젤,"2,157 cc (187마력)",빨간색,"60개월 / 100,000km","3,400만원",110,0,0,1,1,0,0,0,0,0,1,등록,,,,,,,,,
2108,기아 올 뉴 카니발 2.2 디젤 11인승 디럭스,차량번호 71로5187,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179961&gubun=K,2015.04,"98,000 km",디젤,"2,199 cc ()",흰색,정보없음,"2,800만원",준비중,,,,,,,,,,,등록,,,,,,,,,
2109,쉐보레 크루즈  1.4 터보 LTZ 플러스  ,차량번호 21소4391,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179958&gubun=K,2014.01,"58,000 km",가솔린,"1,362 cc (140마력)",진회색,불가,590만원,27,0,0,1,0,0,1,0,1,0,0,등록,2,0,0,0,0,1,"1,739,850",0,0
2110,쉐보레 스파크 1.0 S  LT,차량번호 69우4110,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179953&gubun=K,2014.03,"86,781 km",가솔린,995 cc (75마력),보라색,만료,420만원,30,0,0,1,0,0,1,0,0,0,0,등록,,,,,,,,,
2111,현대 팰리세이드  2.2 디젤 4WD 프레스티지   ,차량번호 129루6056,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179950&gubun=K,2020.01,"35,000 km",디젤,"2,199 cc (202마력)",진회색,정보없음,"4,300만원",97,0,0,1,0,1,1,1,1,1,1,미등록,,,,,,,,,
2112,쉐보레 더 넥스트 스파크 1.0 에코 LT 플러스,차량번호 25러3294,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179946&gubun=K,2016.02,"59,600 km",가솔린,999 cc (75마력),베이지색,불가,565만원,46,0,0,1,0,0,1,0,0,0,0,등록,,,,,,,,,
2113,기아 카니발 4세대  3.5 가솔린 4인승 하이리무진 시그니처   ,차량번호 248도3840,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178061&gubun=K,2022.07 (23년형),"2,000 km",가솔린,"3,470 cc (294마력)",흰색 (스노우 화이트 펄),"60개월 / 100,000km","9,200만원",105,0,0,1,1,1,1,1,1,1,1,미등록,,,,,,,,,
2114,기아 쏘렌토  2.5 디젤 4WD TLX 고급형,차량번호 380고3868,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179900&gubun=K,2004.03,"161,321 km",디젤,"2,497 cc (145마력)",은색,만료,220만원,9,,,,,,,,,,,등록,,,,,,,,,
2115,기아 쏘렌토R 2.4 가솔린 2WD  TLX 최고급형,차량번호 30도1264,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179867&gubun=K,2009.09 (10년형),"80,414 km",가솔린,"2,359 cc (175마력)",은색,만료,"1,150만원",43,0,0,1,1,0,1,0,1,0,0,등록,,,,,,,,,
2116,제네시스 더 올 뉴 G80 2.5 터보,차량번호 137노3558,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179866&gubun=K,2020.08 (21년형),"25,000 km",가솔린,"2,497 cc (304마력)",흰색,불가,"50,000만원",952,1,0,1,1,1,1,0,1,0,1,등록,,,,,,,,,
2117,현대 더 뉴 아반떼 1.6 스마트,차량번호 18거9601,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179865&gubun=K,2014.03,"70,000 km",가솔린,"1,591 cc (140마력)",흰색,불가,600만원,34,1,0,1,0,0,1,0,1,0,0,등록,,,,,,,,,
2118,기아 카니발 4세대  3.5 가솔린 9인승 시그니처   ,차량번호 320루5001,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178739&gubun=K,2022.01,"12,600 km",가솔린,"3,470 cc (294마력)",검정색,"60개월 / 100,000km",[계약],준비중,0,0,1,1,1,1,1,1,1,1,미등록,,,,,,,,,
2119,현대 쏘나타  2.0 LPi 모던,차량번호 부산37바2080,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179826&gubun=K,2020.04,"130,000 km",LPG,"1,999 cc (146마력)",은색,불가,"1,000만원",37,0,0,1,0,0,1,0,0,0,0,등록,,,,,,,,,
2120,쌍용 코란도 투리스모  2.0 디젤 4WD GT 9인승   ,차량번호 45러5849,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2138153&gubun=K,2014.10 (15년형),"233,542 km",디젤,"1,998 cc (155마력)",은색,불가,"1,590만원",48,,,,,,,,,,,미등록,,,,,,,,,
2121,현대 싼타페DM  2.0 디젤 2WD 프리미엄  ,차량번호 26모7528,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2144776&gubun=K,2012.11 (13년형),"156,057 km",디젤,"1,995 cc (184마력)",검정색,불가,990만원,32,0,0,1,1,0,1,0,1,0,0,미등록,,,,,,,,,
2122,기아 레이  1.0 프레스티지  ,차량번호 42나1416,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2176322&gubun=K,2017.07,"81,500 km",가솔린,998 cc (78마력),흰색,불가,960만원,62,0,0,1,1,0,1,0,1,0,0,미등록,,,,,,,,,
2123,기아 K9 3.3 노블레스 스페셜,차량번호 364구2121,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2176270&gubun=K,2012.06 (13년형),"285,000 km",가솔린,"3,342 cc (300마력)",검정색,불가,"1,230만원",19,,,,,,,,,,,등록,,,,,,,,,
2124,쉐보레 스파크 1.0 LS,차량번호 27모5585,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178630&gubun=K,2012.03,"95,100 km",가솔린,995 cc (70마력),분홍색,불가,410만원,40,0,0,1,0,0,0,1,1,0,0,등록,,,,,,,,,
2125,기아 스팅어 3.3 터보 AWD GT,차량번호 314너1942,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179181&gubun=K,2018.11 (19년형),"62,000 km",가솔린,"3,342 cc (370마력)",회색,불가,"3,250만원",63,0,1,1,1,1,1,1,1,1,1,등록,,,,,,,,,
2126,기아 디 올 뉴 니로 EV   에어   ,차량번호 24어7630,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179723&gubun=K,2022.09 (23년형),300 km,전기,180 cc (204마력),흰색,가능,"4,190만원",준비중,0,0,1,0,0,1,0,1,0,1,등록,0,0,0,0,0,0,0,0,0
2127,제네시스 GV80 2.5 터보 AWD  5인승,차량번호 161부8406,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179753&gubun=K,2021.05,"20,000 km",가솔린,"2,497 cc (304마력)",흰색,"60개월 / 100,000km",2898만원,운용,0,1,1,1,1,1,1,1,1,1,등록,,,,,,,,,
2128,현대 싼타페TM 2.0 디젤 2WD  익스클루시브 스페셜,차량번호 52도7733,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179747&gubun=K,2018.05 (19년형),"39,000 km",디젤,"1,995 cc (186마력)",검정색,"60개월 / 100,000km","2,950만원",88,1,0,1,1,1,1,0,1,0,1,등록,,,,,,,,,
2129,현대 포터2 TCi 일반캡 초장축 SUP 기본형,차량번호 99라1984,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179733&gubun=K,2018.01,"60,235 km",디젤,"2,497 cc ()",흰색,불가,"4,500만원",준비중,0,0,1,0,0,1,0,0,0,1,등록,,,,,,,,,
2130,쉐보레 볼트 EV   LT 디럭스   ,차량번호 12나1628,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179722&gubun=K,2020.04 (19년형),"68,000 km",전기,174 cc (204마력),흰색,"60개월 / 100,000km","2,490만원",준비중,0,0,0,0,0,1,0,1,0,0,등록,0,0,0,0,0,0,0,0,0
2131,기아 더 뉴 카니발  2.2 디젤 9인승 하이리무진 프레스티지  ,차량번호 08가1307,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179604&gubun=K,2019.06,"69,503 km",디젤,"2,199 cc (202마력)",검정색,불가,"6,500만원",121,0,0,1,1,1,1,0,1,0,1,미등록,,,,,,,,,
2132,기아 봉고3 CRDi 표준캡  초장축 노블레스,차량번호 87로7776,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179705&gubun=K,2016.09 (17년형),"103,500 km",디젤,"2,497 cc (126마력)",청색,정보없음,"1,100만원",준비중,,,,,,,,,,,등록,,,,,,,,,
2133,현대 그랜드스타렉스  캠핑카 -   ,차량번호 79모7507,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179701&gubun=K,2014.01,"44,103 km",디젤,"2,497 cc (174마력)",은색,불가,"1,680만원",준비중,0,0,1,0,0,1,0,1,0,1,미등록,,,,,,,,,
2134,현대 아슬란  3.3 G330 익스클루시브   ,차량번호 19조0171,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179672&gubun=K,2014.11 (15년형),"68,065 km",가솔린,"3,342 cc (294마력)",흰색,불가,"1,750만원",38,0,0,1,1,1,1,1,1,1,1,미등록,,,,,,,,,
2135,GM대우 브로엄 2.0 DOHC  2000,차량번호 인천31마5701,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179652&gubun=K,1999.03,"110,868 km",가솔린/LPG겸용,"1,998 cc (145마력)",검정색,만료,250만원,14,0,0,0,0,0,0,0,0,0,0,등록,,,,,,,,,
2136,현대 e마이티 2.5톤 큐티  장축고상 디럭스,차량번호 90마8011,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2178623&gubun=K,2016.03,"229,887 km",디젤,"2,497 cc ()",흰색,만료,"2,180만원",준비중,,,,,,,,,,,등록,,,,,,,,,
2137,기아 올 뉴 모닝 1.0 디럭스,차량번호 31우2224,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179623&gubun=K,2013.11 (14년형),"123,000 km",가솔린,998 cc (),갈색,불가,"4,400,000만원",411214,0,0,0,0,0,1,0,0,0,0,등록,,,,,,,,,
2138,기아 EV6 롱 레인지 AWD 에어,차량번호 11누1114,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2177410&gubun=K,2022.04,"1,700 km",전기,111 cc (228마력),진주색,"36개월 / 60,000km","5,200만원",준비중,1,0,1,1,1,1,1,1,0,1,등록,,,,,,,,,
2139,기아 더 뉴 레이  1.0 시그니처   ,차량번호 139고9759,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179550&gubun=K,2022.04,"4,617 km",가솔린,998 cc (76마력),기타색상,"60개월 / 100,000km","1,550만원",98,0,0,1,0,0,1,0,1,0,1,미등록,,,,,,,,,
2140,기아 더 뉴 레이  1.0 시그니처   ,차량번호 139고9759,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179550&gubun=K,2022.04,"4,617 km",가솔린,998 cc (76마력),기타색상,"60개월 / 100,000km","1,550만원",98,0,0,1,0,0,1,0,1,0,1,미등록,,,,,,,,,
2141,제네시스 G80 3.3 터보 AWD 스포츠,차량번호 41구7337,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179543&gubun=K,2018.07,"80,000 km",가솔린,"3,342 cc (370마력)",은색,불가,"4,000만원",56,1,1,1,1,1,1,1,1,1,1,등록,,,,,,,,,
2142,기아 쏘울 1.6  U 고급형,차량번호 69머8531,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179451&gubun=K,2009.09 (10년형),"99,328 km",가솔린,"1,591 cc (124마력)",베이지색,만료,599만원,46,0,0,0,0,0,0,0,1,0,0,등록,7,0,0,0,0,6,"2,915,198",0,0
2143,기아 스포티지 4세대 1.7 디젤 2WD  노블레스,차량번호 62보0967,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179447&gubun=K,2016.02,"72,899 km",디젤,"1,685 cc (141마력)",빨간색,만료,"1,599만원",65,1,1,1,0,0,1,0,1,0,0,등록,1,0,0,0,0,1,"363,070",1,"301,080"
2144,기아 봉고3  내장 탑차 -   ,차량번호 94거3680,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2168296&gubun=K,2008.03,"103,000 km",디젤,"2,902 cc (126마력)",흰색,불가,520만원,준비중,,,,,,,,,,,미등록,,,,,,,,,
2145,현대 NF쏘나타 트랜스폼  2.0 LPi 디럭스   ,차량번호 377구5470,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2166387&gubun=K,2008.06,"141,607 km",LPG,"1,998 cc (141마력)",흰색,불가,170만원,준비중,0,0,1,1,0,0,0,0,0,1,미등록,,,,,,,,,
2146,GM대우 라세티 프리미어  1.8 CDX ID 고급형   ,차량번호 233무7043,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2166388&gubun=K,2011.04,"131,236 km",가솔린,"1,796 cc (142마력)",흰색,불가,200만원,10,1,0,1,1,1,1,0,1,0,1,미등록,,,,,,,,,
2147,현대 포터2 슈퍼캡 내장탑차,차량번호 전북81배1340,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179343&gubun=K,2012.03,"145,569 km",디젤,"2,497 cc ()",기타색상,불가,600만원,준비중,0,0,1,0,0,0,0,0,0,0,등록,,,,,,,,,
2148,기아 카니발 4세대  3.5 가솔린 9인승 시그니처   ,차량번호 번호판없음,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179367&gubun=K,2023.00,33 km,가솔린,"3,470 cc (294마력)",기타색상,"60개월 / 100,000km","9,090만원",준비중,0,0,1,1,1,1,1,1,1,1,미등록,,,,,,,,,
2149,현대 제네시스  BH330 럭셔리   ,차량번호 30주5555,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2172173&gubun=K,2009.07 (10년형),"179,524 km",가솔린,"3,342 cc (262마력)",검정색,불가,"1,050만원",준비중,1,0,1,1,0,0,0,0,0,0,미등록,,,,,,,,,
2150,현대 포터2  냉장탑차 -   ,차량번호 84나0483,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179492&gubun=K,2011.03,"156,228 km",디젤,"2,497 cc ()",흰색,불가,699만원,준비중,0,0,1,0,0,1,0,1,0,0,미등록,,,,,,,,,
2151,현대 그랜저HG 240 모던,차량번호 12오0600,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2176586&gubun=K,2016.03,"187,000 km",가솔린,"2,359 cc (190마력)",검정색,만료,760만원,25,1,1,1,1,1,1,0,1,0,1,등록,,,,,,,,,
2152,현대 싼타페DM 2.0 디젤 4WD 프리미엄,차량번호 59오0252,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2179480&gubun=K,2013.09 (14년형),"170,000 km",디젤,"1,995 cc (184마력)",은색,불가,800만원,25,1,1,0,1,0,1,0,1,0,0,등록,,,,,,,,,
2153,현대 더 뉴 제네시스 쿠페  2.0 터보 D  ,차량번호 11모7149,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2154698&gubun=K,2012.07,"142,000 km",가솔린,"1,998 cc (275마력)",회색,불가,950만원,36,,,,,,,,,,,미등록,,,,,,,,,
